Taxonomic groups,Genus,Species,European IUCN Red List Version 2021-3,Regional IUCN Red List Version 2005,Regional Red List of vascular plants 2022,Latitude,Longitude,Source,Resolution
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.91861,-7.042222,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.93887,-6.765132,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.894165,-7.058333,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.94644,-6.588801,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.82434,-6.875624,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.929443,-6.728889,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.941113,-7.051111,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.841026,-6.721291,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.852665,-6.72229,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.926685,-6.737133,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.777138,-6.936312,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.942486,-6.612408,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.915234,-6.555433,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.891758,-7.000715,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90228,-6.735091,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.919918,-6.732187,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.72296,-6.822444,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.88937,-6.804013,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.640656,-6.873218,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.724453,-6.921428,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.93651,-6.755176,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.743774,-6.569583,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.980618,-6.794811,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.93168,-6.851606,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.95377,-6.763868,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.844727,-6.859868,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.859737,-6.986492,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.914856,-7.099061,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.952705,-6.986181,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.938553,-6.616387,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.75007,-6.879351,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.766693,-6.563641,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85357,-7.014132,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.937695,-7.179872,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.881702,-6.846156,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.889576,-6.823445,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.784275,-6.568501,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.935154,-6.981176,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.801857,-6.573365,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.939194,-6.957591,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.851215,-7.001724,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.896923,-6.938065,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.854794,-6.586947,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.87034,-7.036869,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.909702,-6.676874,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90006,-6.883125,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.89219,-6.996411,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.951847,-6.973663,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.820625,-6.671034,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.73652,-6.850891,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.962017,-7.106341,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.83299,-6.882688,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.896126,-6.774139,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.847008,-6.552054,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.934002,-6.580359,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.965,-6.9594,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.906654,-6.75391,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.951065,-6.952929,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90215,-7.03567,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.897263,-6.866133,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.87688,-7.211812,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.84589,-7.178159,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.911346,-6.567292,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.789165,-7.186554,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.94587,-7.132718,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85141,-6.93266,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.886524,-6.942621,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.863483,-6.861983,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.894585,-6.89548,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.667736,-6.930065,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.83243,-7.149578,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.889153,-7.14115,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.961334,-6.771678,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.88799,-6.731143,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.922626,-6.730402,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.891945,-7.018316,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.879505,-6.767708,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.889072,-6.819798,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90544,-7.046896,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.867496,-6.838418,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.901066,-6.749061,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.852787,-7.031861,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.91355,-6.999752,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.936203,-6.758929,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.913013,-6.6783,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.89941,-6.649805,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.92095,-6.631112,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.891464,-6.696974,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.883827,-7.065442,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.815487,-6.601791,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85632,-6.687155,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.829105,-6.630232,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8546,-6.587977,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.971336,-6.768812,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.914642,-6.777581,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.96734,-6.792418,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.84592,-6.857027,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.81944,-6.578232,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.86249,-6.540824,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.84491,-6.535962,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.893707,-6.57415,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.87787,-6.668486,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.932404,-7.104097,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.94054,-7.056939,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.836372,-6.804968,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.86593,-6.739209,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85794,-6.786344,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.844368,-6.757851,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.866276,-7.060424,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90261,-7.169758,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.804173,-6.993329,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.82117,-6.677351,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.823383,-6.554669,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.812256,-6.946255,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.86897,-6.937638,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.841904,-6.880582,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.95402,-7.085553,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.90138,-7.070464,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.863434,-7.183208,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.885067,-7.164707,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.87161,-7.13611,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.87551,-6.791281,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.904083,-6.947607,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.908115,-6.924032,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.93373,-6.881844,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.86194,-6.762778,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.89861,-6.871906,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.742016,-6.926385,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.77566,-6.837242,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.858547,-6.564402,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.850643,-6.61155,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85234,-6.710723,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.931103,-7.004759,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.91064,-6.801166,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85934,-7.206753,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.697372,-6.864527,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.80822,-6.969793,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.7731,-6.959838,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85895,-6.986645,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.85863,-6.98778,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.841175,-6.696264,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.81444,-6.69872,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.927555,-6.548688,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.903538,-6.564063,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.74586,-6.569867,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9506,-6.9714,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.946342,-6.958508,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.897995,-6.85328,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.788914,-6.950011,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8841,-6.7374,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.93389,-6.816738,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.91952,-6.912503,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.912926,-6.897483,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.91188,-6.790152,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.866463,-6.525814,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.870205,-6.849539,EOD - Bird (GBIF Dataset),GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8896,-6.82344,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9023,-6.73509,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.965,-6.9594,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9021,-7.03567,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9389,-6.76513,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9339,-6.81674,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9317,-6.85161,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9195,-6.9125,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9129,-6.89748,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9119,-6.79015,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.888963,-6.831535,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.888,-6.73114,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.723,-6.82244,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8779,-6.66849,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8212,-6.67735,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9011,-6.74906,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8891,-6.8198,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8123,-6.94626,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.869,-6.93764,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8419,-6.88058,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9152,-6.55543,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9014,-7.07046,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8634,-7.18321,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8851,-7.16471,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8716,-7.13611,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8937,-6.57415,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.7843,-6.5685,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8841,-6.7374,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.954,-7.08555,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8755,-6.79128,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9041,-6.94761,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9081,-6.92403,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9337,-6.88184,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8042,-6.99333,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8619,-6.76278,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8986,-6.87191,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9464,-6.5888,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.742,-6.92639,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.7757,-6.83724,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.921,-6.63111,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.913,-6.6783,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.7501,-6.87935,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8234,-6.55467,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8585,-6.5644,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8019,-6.57336,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8506,-6.61155,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.8523,-6.71072,GBIF,GPS
Birds,Certhia,Certhia brachydactyla,Least Concern (LC),Least Concern (LC),,41.9106,-6.80117,GBIF,GPS
